label,source,n_qubits,depth,num_gates,circuit,median_c2,mean_c2,max_c2,median_cancellation,operator_magic
sample_n1_d4_014,sample,1,4,4,H0 S0 S0 T0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d4_015,sample,1,4,4,T0 H0 H0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.28768207245178123
sample_n1_d4_016,sample,1,4,4,S0 H0 H0 H0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.0
sample_n1_d4_017,sample,1,4,4,H0 H0 H0 H0,2.0794415416798357,2.0794415416798357,2.0794415416798357,14.508657738524219,0.0
sample_n1_d4_018,sample,1,4,4,H0 H0 H0 S0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.0
sample_n1_d4_019,sample,1,4,4,H0 H0 S0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d4_020,sample,1,4,4,S0 S0 H0 T0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d4_021,sample,1,4,4,H0 H0 T0 T0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d4_022,sample,1,4,4,H0 T0 H0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.519860385419959,0.28768207245178035
sample_n1_d4_023,sample,1,4,4,S0 S0 S0 H0,0.0,0.0,0.0,0.0,0.0
sample_n1_d4_024,sample,1,4,4,T0 S0 T0 H0,0.0,0.0,0.0,0.0,0.0
sample_n1_d4_025,sample,1,4,4,H0 T0 S0 S0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d4_026,sample,1,4,4,S0 T0 S0 S0,0.0,0.0,0.0,0.0,0.28768207245177946
sample_n1_d4_027,sample,1,4,4,S0 S0 H0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d4_028,sample,1,4,4,T0 H0 S0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.34657359027997264,0.28768207245178123
sample_n1_d4_029,sample,1,4,4,T0 T0 S0 H0,0.0,0.0,0.0,0.0,0.0
sample_n1_d4_030,sample,1,4,4,S0 H0 T0 T0,0.0,0.0,0.0,0.0,0.0
sample_n1_d5_001,sample,1,5,5,S0 H0 H0 T0 T0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d5_002,sample,1,5,5,H0 H0 S0 S0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d5_003,sample,1,5,5,S0 H0 T0 H0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.519860385419959,0.28768207245178035
sample_n1_d5_004,sample,1,5,5,T0 H0 H0 H0 T0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599454,0.5753641449035625
sample_n1_d5_005,sample,1,5,5,H0 T0 H0 H0 T0,1.3862943611198908,1.3862943611198908,1.3862943611198908,0.6931471805599453,0.0
sample_n1_d5_006,sample,1,5,5,T0 S0 S0 S0 T0,0.0,0.0,0.0,0.0,0.0
sample_n1_d5_007,sample,1,5,5,H0 T0 H0 H0 H0,2.0794415416798357,2.0794415416798357,2.0794415416798357,1.2130075659799044,0.28768207245178035
sample_n1_d5_008,sample,1,5,5,S0 T0 S0 S0 T0,0.0,0.0,0.0,0.0,0.0
sample_n1_d5_009,sample,1,5,5,S0 S0 T0 S0 H0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d5_010,sample,1,5,5,H0 H0 H0 H0 S0,2.0794415416798357,2.0794415416798357,2.0794415416798357,14.508657738524219,0.0
sample_n1_d5_011,sample,1,5,5,S0 T0 S0 H0 T0,0.0,0.0,0.0,0.0,0.5753641449035615
sample_n1_d5_012,sample,1,5,5,T0 S0 H0 T0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.519860385419959,0.575364144903561
sample_n1_d5_013,sample,1,5,5,H0 S0 S0 T0 T0,0.0,0.0,0.0,0.0,0.0
sample_n1_d5_014,sample,1,5,5,T0 T0 T0 H0 T0,0.0,0.0,0.0,0.0,0.5753641449035618
sample_n1_d5_015,sample,1,5,5,S0 S0 T0 S0 S0,0.0,0.0,0.0,0.0,0.28768207245177946
sample_n1_d5_016,sample,1,5,5,H0 H0 H0 H0 T0,2.0794415416798357,2.0794415416798357,2.0794415416798357,14.508657738524219,0.2876820724517809
sample_n1_d5_017,sample,1,5,5,H0 T0 S0 S0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.519860385419959,0.28768207245178035
sample_n1_d5_018,sample,1,5,5,T0 T0 T0 T0 H0,0.0,0.0,0.0,0.0,0.0
sample_n1_d5_019,sample,1,5,5,S0 S0 S0 T0 T0,0.0,0.0,0.0,0.0,0.0
sample_n1_d5_020,sample,1,5,5,S0 T0 T0 H0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d5_021,sample,1,5,5,S0 T0 T0 T0 S0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d5_022,sample,1,5,5,H0 T0 S0 H0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.519860385419959,0.28768207245178035
sample_n1_d5_023,sample,1,5,5,T0 T0 H0 H0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d5_024,sample,1,5,5,T0 T0 S0 S0 S0,0.0,0.0,0.0,0.0,0.0
sample_n1_d5_025,sample,1,5,5,H0 H0 S0 H0 S0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.0
sample_n1_d5_026,sample,1,5,5,H0 S0 H0 S0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.3465735902799726,0.0
sample_n1_d5_027,sample,1,5,5,H0 H0 S0 S0 T0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.28768207245178123
sample_n1_d5_028,sample,1,5,5,H0 S0 H0 S0 H0,1.3862943611198906,1.3862943611198906,1.3862943611198906,14.162084148244247,0.0
sample_n1_d5_029,sample,1,5,5,S0 H0 H0 T0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.28768207245178123
