n_qubits,layers,t_density,expected_t_gates,repeat,circuit_seed,task,global_p2_estimate,global_k90_estimate,task_p2,exp_task_p2,k50,k90,k95,k90_lower_bound,k90_over_exp_p2,terminal_support,labels_requested,labels_used,capped_labels,avg_terminal_terms
8,5,0.2,8.0,14,425169839005845597,hamiltonian_terms,1.5654957905776017,254,0.7672551527136672,2.1538461538461537,18,52,60,1.7446153846153847,24.142857142857142,68,21,21,0,3.4285714285714284
8,5,0.2,8.0,14,425169839005845597,transported_local_z,1.5654957905776017,254,0.8817383503674954,2.4150943396226414,8,21,23,1.9562264150943396,8.6953125,26,8,8,0,3.25
8,5,0.2,8.0,14,425169839005845597,all_pauli,1.5654957905776017,254,1.7385149547092427,5.688888888888889,63,168,187,4.6080000000000005,29.53125,222,24,24,0,9.25
8,5,0.2,8.0,15,107115336976446250,local_z,1.8977712385722012,321,0.39768296766610944,1.4883720930232558,5,12,13,1.2055813953488372,8.0625,14,8,8,0,1.75
8,5,0.2,8.0,15,107115336976446250,local_transverse,1.8977712385722012,321,0.6179237593223578,1.855072463768116,10,25,28,1.502608695652174,13.4765625,31,16,16,0,2.25
8,5,0.2,8.0,15,107115336976446250,hamiltonian_terms,1.8977712385722012,321,0.7357067949787413,2.0869565217391304,18,44,48,1.6904347826086956,21.083333333333332,54,21,21,0,2.6666666666666665
8,5,0.2,8.0,15,107115336976446250,transported_local_z,1.8977712385722012,321,0.7411563997463059,2.098360655737705,7,18,20,1.6996721311475411,8.578125,21,8,8,0,3.125
8,5,0.2,8.0,15,107115336976446250,all_pauli,1.8977712385722012,321,1.6550592744394663,5.233390119250426,54,181,209,4.2390459965928455,34.585611979166664,247,24,24,0,10.291666666666666
8,5,0.2,8.0,16,279018615845934033,local_z,1.8274220668637717,324,0.5479651707154474,1.7297297297297298,6,14,16,1.4010810810810812,8.09375,17,8,8,0,2.125
8,5,0.2,8.0,16,279018615845934033,local_transverse,1.8274220668637717,324,0.8424269301526071,2.3219954648526078,13,38,44,1.8808163265306124,16.365234375,54,16,16,0,4.6875
8,5,0.2,8.0,16,279018615845934033,hamiltonian_terms,1.8274220668637717,324,0.8656952255269198,2.376657824933687,19,57,67,1.9250928381962866,23.98325892857143,87,21,21,0,4.428571428571429
8,5,0.2,8.0,16,279018615845934033,transported_local_z,1.8274220668637717,324,0.9056058317741387,2.473429951690821,7,25,28,2.0034782608695654,10.107421875,33,8,8,0,4.125
8,5,0.2,8.0,16,279018615845934033,all_pauli,1.8274220668637717,324,1.9957995499766528,7.35808383233533,72,275,315,5.960047904191618,37.37386067708333,391,24,24,0,16.291666666666668
8,5,0.2,8.0,17,229023661598424500,local_z,1.6527195945462565,229,0.4514272436728001,1.5705521472392638,6,13,17,1.2721472392638038,8.27734375,23,8,8,0,2.875
