case,n_qubits,layers,t_density,state_response,target_mass,mean_retained_mass,avg_retained_terms,rms_error,relative_rms_error,exact_rms,task_p2,labels_used,capped_labels
transported Z n12,12,4,0.2,z_product,0.95,0.9999999999999999,4.083333333333333,0.0,0.0,0.0,0.8326487401709718,12,0
transported Z n12,12,4,0.2,x_product,0.5,0.8854166666666665,2.75,0.07216878364870319,0.19999999999999996,0.360843918243516,0.8326487401709718,12,0
transported Z n12,12,4,0.2,x_product,0.7,0.9166666666666665,3.25,0.0,0.0,0.360843918243516,0.8326487401709718,12,0
transported Z n12,12,4,0.2,x_product,0.9,0.9895833333333331,3.9166666666666665,0.0,0.0,0.360843918243516,0.8326487401709718,12,0
transported Z n12,12,4,0.2,x_product,0.95,0.9999999999999999,4.083333333333333,0.0,0.0,0.360843918243516,0.8326487401709718,12,0
transported Z n12,12,4,0.2,tilted_product,0.5,0.8854166666666665,2.75,0.008423693926394627,0.06612631135324556,0.1273879300690977,0.8326487401709718,12,0
transported Z n12,12,4,0.2,tilted_product,0.7,0.9166666666666665,3.25,0.02277685605651672,0.17879916915332644,0.1273879300690977,0.8326487401709718,12,0
transported Z n12,12,4,0.2,tilted_product,0.9,0.9895833333333331,3.9166666666666665,0.02016618773851903,0.1583053255326505,0.1273879300690977,0.8326487401709718,12,0
transported Z n12,12,4,0.2,tilted_product,0.95,0.9999999999999999,4.083333333333333,0.0,0.0,0.1273879300690977,0.8326487401709718,12,0
all Pauli n12,12,4,0.2,z_product,0.5,0.638020833333333,6.791666666666667,0.0,0.0,0.0,1.980350639035605,24,0
all Pauli n12,12,4,0.2,z_product,0.7,0.7578124999999997,8.625,0.0,0.0,0.0,1.980350639035605,24,0
all Pauli n12,12,4,0.2,z_product,0.9,0.9713541666666664,11.0,0.0,0.0,0.0,1.980350639035605,24,0
all Pauli n12,12,4,0.2,z_product,0.95,0.997395833333333,11.5,0.0,0.0,0.0,1.980350639035605,24,0
all Pauli n12,12,4,0.2,x_product,0.5,0.638020833333333,6.791666666666667,0.0,0.0,0.0,1.980350639035605,24,0
all Pauli n12,12,4,0.2,x_product,0.7,0.7578124999999997,8.625,0.0,0.0,0.0,1.980350639035605,24,0
all Pauli n12,12,4,0.2,x_product,0.9,0.9713541666666664,11.0,0.0,0.0,0.0,1.980350639035605,24,0
all Pauli n12,12,4,0.2,x_product,0.95,0.997395833333333,11.5,0.0,0.0,0.0,1.980350639035605,24,0
all Pauli n12,12,4,0.2,tilted_product,0.5,0.638020833333333,6.791666666666667,0.017619347157285324,0.45582520053189,0.038653736425116006,1.980350639035605,24,0
all Pauli n12,12,4,0.2,tilted_product,0.7,0.7578124999999997,8.625,0.016740869854277442,0.4330983600177845,0.038653736425116006,1.980350639035605,24,0
all Pauli n12,12,4,0.2,tilted_product,0.9,0.9713541666666664,11.0,0.001925304215733618,0.04980900667813874,0.038653736425116006,1.980350639035605,24,0
all Pauli n12,12,4,0.2,tilted_product,0.95,0.997395833333333,11.5,0.00022982761180521307,0.005945805840800377,0.038653736425116006,1.980350639035605,24,0
