n_qubits,layers,t_density,repeat,circuit_seed,task,log_k90,k90,global_operator_sre,t_count,active_t_count,task_p2
8,5,0.2,11,99922322522313647,hamiltonian_terms,4.430816798843313,84,2.1439800628174073,8,2.1904761904761907,1.067840630001356
8,5,0.2,11,99922322522313647,all_pauli,5.476463551931511,239,2.1439800628174073,8,8.0,2.0461478135803723
8,5,0.2,12,69715775917342712,local_z,2.1972245773362196,9,0.808978996085067,3,0.25,0.13353139262452263
8,5,0.2,12,69715775917342712,local_transverse,2.833213344056216,17,0.808978996085067,3,0.5,0.24686007793152578
8,5,0.2,12,69715775917342712,hamiltonian_terms,3.4011973816621555,30,0.808978996085067,3,0.6666666666666666,0.3532793549375942
8,5,0.2,12,69715775917342712,all_pauli,4.02535169073515,56,0.808978996085067,3,3.0,0.8630462173553428
8,5,0.2,13,667159184863284977,local_z,2.5649493574615367,13,1.7844316470892123,7,1.0,0.31139859906909695
8,5,0.2,13,667159184863284977,local_transverse,3.1354942159291497,23,1.7844316470892123,7,1.5,0.44607350239569854
8,5,0.2,13,667159184863284977,hamiltonian_terms,3.828641396489095,46,1.7844316470892123,7,1.6666666666666667,0.5566903836063175
8,5,0.2,13,667159184863284977,all_pauli,5.484796933490655,241,1.7844316470892123,7,7.0,1.8844242254716423
8,5,0.2,14,425169839005845597,local_z,2.772588722239781,16,1.5654957905776017,6,1.0,0.5212969236332861
8,5,0.2,14,425169839005845597,local_transverse,3.367295829986474,29,1.5654957905776017,6,1.25,0.6179237593223578
8,5,0.2,14,425169839005845597,hamiltonian_terms,3.9512437185814275,52,1.5654957905776017,6,1.5238095238095237,0.7672551527136672
8,5,0.2,14,425169839005845597,all_pauli,5.123963979403259,168,1.5654957905776017,6,6.0,1.7385149547092427
8,5,0.2,15,107115336976446250,local_z,2.4849066497880004,12,1.8977712385722012,6,0.75,0.39768296766610944
8,5,0.2,15,107115336976446250,local_transverse,3.2188758248682006,25,1.8977712385722012,6,1.125,0.6179237593223578
8,5,0.2,15,107115336976446250,hamiltonian_terms,3.784189633918261,44,1.8977712385722012,6,1.380952380952381,0.7357067949787413
8,5,0.2,15,107115336976446250,all_pauli,5.198497031265826,181,1.8977712385722012,6,6.0,1.6550592744394663
8,5,0.2,16,279018615845934033,local_z,2.6390573296152584,14,1.8274220668637717,7,1.125,0.5479651707154474
8,5,0.2,16,279018615845934033,local_transverse,3.6375861597263857,38,1.8274220668637717,7,1.875,0.8424269301526071
8,5,0.2,16,279018615845934033,hamiltonian_terms,4.04305126783455,57,1.8274220668637717,7,2.0,0.8656952255269198
8,5,0.2,16,279018615845934033,all_pauli,5.616771097666572,275,1.8274220668637717,7,7.0,1.9957995499766528
8,5,0.2,17,229023661598424500,local_z,2.5649493574615367,13,1.6527195945462565,8,1.5,0.4514272436728001
8,5,0.2,17,229023661598424500,local_transverse,3.5263605246161616,34,1.6527195945462565,8,2.0625,0.5581520160224405
8,5,0.2,17,229023661598424500,hamiltonian_terms,4.394449154672439,81,1.6527195945462565,8,2.619047619047619,0.7295148247308202
8,5,0.2,17,229023661598424500,all_pauli,5.153291594497779,173,1.6527195945462565,8,8.0,1.6240295312744157
8,5,0.2,18,764140686940370227,local_z,3.784189633918261,44,2.3345385753802916,11,3.375,1.7385149547092427
8,5,0.2,18,764140686940370227,local_transverse,4.442651256490317,85,2.3345385753802916,11,3.875,1.4070153787574082
8,5,0.2,18,764140686940370227,hamiltonian_terms,4.653960350157523,105,2.3345385753802916,11,3.761904761904762,1.3620373834743307
8,5,0.2,18,764140686940370227,all_pauli,5.746203190540153,313,2.3345385753802916,11,11.0,2.135336966661387
8,5,0.2,19,1142512787848229756,local_z,2.1972245773362196,9,2.077490321548574,7,0.25,0.13353139262452263
8,5,0.2,19,1142512787848229756,local_transverse,3.332204510175204,28,2.077490321548574,7,1.5,0.6931471805599453
8,5,0.2,19,1142512787848229756,hamiltonian_terms,3.8501476017100584,47,2.077490321548574,7,1.619047619047619,0.7081399651460866
8,5,0.2,19,1142512787848229756,all_pauli,5.8522024797744745,348,2.077490321548574,7,7.0,2.0311475323208796
8,5,0.3,0,637170551930282731,local_z,2.4849066497880004,12,1.9512957189879059,12,1.375,0.4700036292457356
8,5,0.3,0,637170551930282731,local_transverse,3.9318256327243257,51,1.9512957189879059,12,3.0625,1.2411123512753928
8,5,0.3,0,637170551930282731,hamiltonian_terms,4.07753744390572,59,1.9512957189879059,12,2.761904761904762,0.9419138367620526
8,5,0.3,0,637170551930282731,all_pauli,6.118097198041348,454,1.9512957189879059,12,12.0,2.4579300620897984
8,5,0.3,1,160670897989634319,local_z,2.8903717578961645,18,3.2428839465354735,15,2.0,0.6776429940239801
8,5,0.3,1,160670897989634319,local_transverse,4.2626798770413155,71,3.2428839465354735,15,4.625,1.3862943611198906
8,5,0.3,1,160670897989634319,hamiltonian_terms,4.770684624465665,118,3.2428839465354735,15,4.904761904761905,1.1629276204285688
8,5,0.3,1,160670897989634319,all_pauli,7.022868086082641,1122,3.2428839465354735,15,15.0,3.133047168337607
8,5,0.3,2,150409777860215013,local_z,2.3978952727983707,11,0.9007865453381898,3,0.5,0.2876820724517809
8,5,0.3,2,150409777860215013,local_transverse,3.091042453358316,22,0.9007865453381898,3,0.625,0.33024168687057687
8,5,0.3,2,150409777860215013,hamiltonian_terms,3.6375861597263857,38,0.9007865453381898,3,0.9523809523809523,0.5389965007326869
8,5,0.3,2,150409777860215013,all_pauli,3.9318256327243257,51,0.9007865453381898,3,3.0,0.6423748551865222
8,5,0.3,3,285388577092069120,local_z,2.4849066497880004,12,1.5748855309274405,7,0.625,0.3746934494414107
8,5,0.3,3,285388577092069120,local_transverse,3.713572066704308,41,1.5748855309274405,7,1.8125,0.8630462173553428
8,5,0.3,3,285388577092069120,hamiltonian_terms,3.9889840465642745,54,1.5748855309274405,7,1.8095238095238095,0.7801585575495751
8,5,0.3,3,285388577092069120,all_pauli,5.0106352940962555,150,1.5748855309274405,7,7.0,1.7311348474116202
8,5,0.3,4,246446241987502677,local_z,2.9444389791664403,19,2.8932292301388234,14,2.375,0.7915872533731978
8,5,0.3,4,246446241987502677,local_transverse,4.07753744390572,59,2.8932292301388234,14,4.25,1.398082316871933
8,5,0.3,4,246446241987502677,hamiltonian_terms,4.718498871295094,112,2.8932292301388234,14,4.666666666666667,1.1320905924873794
8,5,0.3,4,246446241987502677,all_pauli,6.79346613258001,892,2.8932292301388234,14,14.0,3.039970435892104
8,5,0.3,5,74959160222867972,local_z,3.044522437723423,21,3.2575845460038564,14,2.25,0.8177896257672219
8,5,0.3,5,74959160222867972,local_transverse,4.59511985013459,99,3.2575845460038564,14,4.375,1.7385149547092427
8,5,0.3,5,74959160222867972,hamiltonian_terms,5.056245805348308,157,3.2575845460038564,14,4.380952380952381,1.3658573062639008
8,5,0.3,5,74959160222867972,all_pauli,7.321188556739478,1512,3.2575845460038564,14,14.0,3.247716132745519
8,5,0.3,6,114683883990672135,local_z,2.4849066497880004,12,2.752223275142669,13,1.0,0.43620624966244487
8,5,0.3,6,114683883990672135,local_transverse,3.784189633918261,44,2.752223275142669,13,3.1875,1.2913393580197081
8,5,0.3,6,114683883990672135,hamiltonian_terms,4.23410650459726,69,2.752223275142669,13,2.8095238095238093,1.0080102499198782
8,5,0.3,6,114683883990672135,all_pauli,6.690842277418564,805,2.752223275142669,13,13.0,2.6321232334552334
8,5,0.3,7,799428307245072521,local_z,2.70805020110221,15,2.002408165197009,9,1.125,0.7576857016975165
8,5,0.3,7,799428307245072521,local_transverse,3.58351893845611,36,2.002408165197009,9,2.1875,0.8723486100176563
8,5,0.3,7,799428307245072521,hamiltonian_terms,4.143134726391533,63,2.002408165197009,9,1.9047619047619047,0.8403774175426297
8,5,0.3,7,799428307245072521,all_pauli,5.19295685089021,180,2.002408165197009,9,9.0,1.745483624025336
8,5,0.3,8,242000399525307048,local_z,2.3978952727983707,11,2.06297627866432,11,0.75,0.2876820724517809
8,5,0.3,8,242000399525307048,local_transverse,4.23410650459726,69,2.06297627866432,11,2.875,1.2478920382607714
8,5,0.3,8,242000399525307048,hamiltonian_terms,4.330733340286331,76,2.06297627866432,11,2.9523809523809526,1.1053312389168546
8,5,0.3,8,242000399525307048,all_pauli,6.150602768446279,469,2.06297627866432,11,11.0,2.2174472146992796
8,5,0.3,9,592416358402000030,local_z,3.332204510175204,28,3.3008970878880364,12,2.0,1.102526187989246
8,5,0.3,9,592416358402000030,local_transverse,3.912023005428146,50,3.3008970878880364,12,3.0,1.092284693937049
8,5,0.3,9,592416358402000030,hamiltonian_terms,4.882801922586371,132,3.3008970878880364,12,3.761904761904762,1.449246839101827
8,5,0.3,9,592416358402000030,all_pauli,7.383989457978509,1610,3.3008970878880364,12,12.0,3.1710441538770517
8,5,0.3,10,463611901775544571,local_z,2.772588722239781,16,1.7810745691280385,8,1.75,0.6179237593223578
8,5,0.3,10,463611901775544571,local_transverse,3.4657359027997265,32,1.7810745691280385,8,1.875,0.7009903580209712
8,5,0.3,10,463611901775544571,hamiltonian_terms,4.1588830833596715,64,1.7810745691280385,8,2.9047619047619047,0.9887974226609031
8,5,0.3,10,463611901775544571,all_pauli,5.272999558563747,195,1.7810745691280385,8,8.0,1.7839773287860001
8,5,0.3,11,223183440528663957,local_z,2.9444389791664403,19,2.0012786044759814,13,1.5,0.808978996085067
8,5,0.3,11,223183440528663957,local_transverse,4.174387269895637,65,2.0012786044759814,13,4.125,1.0650037486661563
8,5,0.3,11,223183440528663957,hamiltonian_terms,4.634728988229636,103,2.0012786044759814,13,3.9047619047619047,1.144866608310792
8,5,0.3,11,223183440528663957,all_pauli,5.572154032177765,263,2.0012786044759814,13,13.0,2.02373093466583
8,5,0.3,12,929787189952061780,local_z,2.5649493574615367,13,3.1897182759411202,10,0.875,0.5212969236332861
8,5,0.3,12,929787189952061780,local_transverse,3.6109179126442243,37,3.1897182759411202,10,2.3125,1.0125779513263065
8,5,0.3,12,929787189952061780,hamiltonian_terms,4.382026634673881,80,3.1897182759411202,10,2.6666666666666665,1.1280594899944107
8,5,0.3,12,929787189952061780,all_pauli,6.75343791859778,857,3.1897182759411202,10,10.0,3.0924676220748117
8,5,0.3,13,735932928284409593,local_z,3.1780538303479458,24,2.6019213192143122,12,2.0,1.2078867036470724
8,5,0.3,13,735932928284409593,local_transverse,4.454347296253507,86,2.6019213192143122,12,3.5,1.6048099660422739
8,5,0.3,13,735932928284409593,hamiltonian_terms,5.062595033026967,158,2.6019213192143122,12,3.857142857142857,1.4009095734908612
8,5,0.3,13,735932928284409593,all_pauli,7.352441100243583,1560,2.6019213192143122,12,12.0,3.2235048491112677
8,5,0.3,14,535153809566496879,local_z,3.8501476017100584,47,4.343181365996449,15,2.875,0.9880164776778317
8,5,0.3,14,535153809566496879,local_transverse,4.74493212836325,115,4.343181365996449,15,4.25,1.4099796382254777
8,5,0.3,14,535153809566496879,hamiltonian_terms,5.393627546352362,220,4.343181365996449,15,5.285714285714286,2.0560813894461623
8,5,0.3,14,535153809566496879,all_pauli,8.404472321352118,4467,4.343181365996449,15,15.0,4.290269648168931
8,5,0.3,15,542969762419128680,local_z,3.295836866004329,27,3.5404003887027815,14,2.125,0.9808292530117262
8,5,0.3,15,542969762419128680,local_transverse,4.174387269895637,65,3.5404003887027815,14,3.625,1.7165360479904674
8,5,0.3,15,542969762419128680,hamiltonian_terms,4.976733742420574,145,3.5404003887027815,14,4.095238095238095,1.639843427202213
8,5,0.3,15,542969762419128680,all_pauli,7.576097340623111,1951,3.5404003887027815,14,14.0,3.6051906820678443
8,5,0.3,16,186831435643634133,local_z,3.9512437185814275,52,2.9685774697980505,17,3.125,1.0937413584335132
