case,n_qubits,layers,t_density,state_response,target_mass,mean_retained_mass,avg_retained_terms,rms_error,relative_rms_error,exact_rms,task_p2,labels_used,capped_labels
window_x_string,12,3,,tilted_product,0.5,0.5199218749999999,125.3,0.047725898092985164,0.443906102094222,0.10751349861564874,3.295861280364857,10,0
window_x_string,12,3,,tilted_product,0.7,0.7129882812499998,242.9,0.025485717969360843,0.23704668062630938,0.10751349861564874,3.295861280364857,10,0
window_x_string,12,3,,tilted_product,0.9,0.9038574218749998,447.6,0.015579155425333273,0.14490418064644495,0.10751349861564874,3.295861280364857,10,0
window_x_string,12,3,,tilted_product,0.95,0.9535156249999999,505.9,0.0047031001749368905,0.04374427616526608,0.10751349861564874,3.295861280364857,10,0
window_xy_ensemble,12,3,,z_product,0.5,0.5124999999999997,104.35,0.0,0.0,0.11180339887498945,3.786780878920629,80,0
window_xy_ensemble,12,3,,z_product,0.7,0.7076660156249999,201.95,0.0,0.0,0.11180339887498945,3.786780878920629,80,0
window_xy_ensemble,12,3,,z_product,0.9,0.9026123046874999,372.1,0.0,0.0,0.11180339887498945,3.786780878920629,80,0
window_xy_ensemble,12,3,,z_product,0.95,0.9524902343749998,420.65,0.0,0.0,0.11180339887498945,3.786780878920629,80,0
window_xy_ensemble,12,3,,x_product,0.5,0.5124999999999997,104.35,0.07905694150420943,0.2879482607363084,0.27455259254580683,3.786780878920629,80,0
window_xy_ensemble,12,3,,x_product,0.7,0.7076660156249999,201.95,0.0576221528580805,0.20987655706972325,0.27455259254580683,3.786780878920629,80,0
window_xy_ensemble,12,3,,x_product,0.9,0.9026123046874999,372.1,0.05590169943749469,0.20361016779751573,0.27455259254580683,3.786780878920629,80,0
window_xy_ensemble,12,3,,x_product,0.95,0.9524902343749998,420.65,0.039836089949943594,0.14509456851439956,0.27455259254580683,3.786780878920629,80,0
window_xy_ensemble,12,3,,tilted_product,0.5,0.5124999999999997,104.35,0.03625930723927781,0.2766533521885376,0.1310640444167375,3.786780878920629,80,0
window_xy_ensemble,12,3,,tilted_product,0.7,0.7076660156249999,201.95,0.02623832903612137,0.2001947151324945,0.1310640444167375,3.786780878920629,80,0
window_xy_ensemble,12,3,,tilted_product,0.9,0.9026123046874999,372.1,0.013502102342683973,0.10301911865127589,0.1310640444167375,3.786780878920629,80,0
window_xy_ensemble,12,3,,tilted_product,0.95,0.9524902343749998,420.65,0.005502713554975085,0.04198492103202915,0.1310640444167375,3.786780878920629,80,0
sampled_all_pauli,12,3,,z_product,0.5,0.5000880432128905,9707.08,0.005412658773652734,0.7394965992478384,0.007319382914212307,8.428377258967183,50,22
sampled_all_pauli,12,3,,z_product,0.7,0.7000255584716796,20461.16,0.0,0.0,0.007319382914212307,8.428377258967183,50,22
sampled_all_pauli,12,3,,z_product,0.9,0.9000125122070312,40846.92,0.0,0.0,0.007319382914212307,8.428377258967183,50,22
sampled_all_pauli,12,3,,z_product,0.95,0.9500104522705076,49235.48,0.0,0.0,0.007319382914212307,8.428377258967183,50,22
sampled_all_pauli,12,3,,x_product,0.5,0.5000880432128905,9707.08,0.010364452469860614,1.3908547653121464,0.007451858187029718,8.428377258967183,50,22
sampled_all_pauli,12,3,,x_product,0.7,0.7000255584716796,20461.16,0.004419417382415917,0.5930624646223279,0.007451858187029718,8.428377258967183,50,22
sampled_all_pauli,12,3,,x_product,0.9,0.9000125122070312,40846.92,0.0,0.0,0.007451858187029718,8.428377258967183,50,22
sampled_all_pauli,12,3,,x_product,0.95,0.9500104522705076,49235.48,0.0,0.0,0.007451858187029718,8.428377258967183,50,22
sampled_all_pauli,12,3,,tilted_product,0.5,0.5000880432128905,9707.08,0.004756595962206676,0.36644988860738104,0.012980208508953735,8.428377258967183,50,22
sampled_all_pauli,12,3,,tilted_product,0.7,0.7000255584716796,20461.16,0.003410073477933142,0.262713305073711,0.012980208508953735,8.428377258967183,50,22
sampled_all_pauli,12,3,,tilted_product,0.9,0.9000125122070312,40846.92,0.0010794870004021894,0.08316407241513574,0.012980208508953735,8.428377258967183,50,22
sampled_all_pauli,12,3,,tilted_product,0.95,0.9500104522705076,49235.48,0.000519257913356977,0.04000381912191884,0.012980208508953735,8.428377258967183,50,22
