dataset,circuit_id,task,n_qubits,threshold,hit,target_mass,avg_retained_terms,relative_rms_error,best_relative_rms_error,best_avg_retained_terms,labels_used,capped_labels,status,layers,t_density,repeat,circuit_seed,model,periods,frame,detail,benchmark,size,gates,t_count
random,random_n10_r10,all_pauli,10,0.1,True,0.95,7.375,1.2712262442881974e-16,1.2712262442881974e-16,7.375,24,0,ok,4,0.2,10,877496518863222603,,,,,,,,
random,random_n10_r11,local_z,10,0.1,True,0.5,1.2,0.022629652146551223,0.0,1.3,10,0,ok,4,0.2,11,1106469578043676619,,,,,,,,
random,random_n10_r11,local_transverse,10,0.1,True,0.5,1.6,0.015227499109182502,0.0,1.75,20,0,ok,4,0.2,11,1106469578043676619,,,,,,,,
random,random_n10_r11,hamiltonian_terms,10,0.1,True,0.9,2.6666666666666665,0.0,0.0,2.6666666666666665,27,0,ok,4,0.2,11,1106469578043676619,,,,,,,,
random,random_n10_r11,all_pauli,10,0.1,True,0.9,7.625,0.05342457246178171,0.0,8.0,24,0,ok,4,0.2,11,1106469578043676619,,,,,,,,
random,random_n10_r12,local_z,10,0.1,True,0.5,1.1,0.0,0.0,1.1,10,0,ok,4,0.2,12,589026745013696624,,,,,,,,
random,random_n10_r12,local_transverse,10,0.1,True,0.9,1.85,0.0,0.0,1.85,20,0,ok,4,0.2,12,589026745013696624,,,,,,,,
random,random_n10_r12,hamiltonian_terms,10,0.1,True,0.9,2.4814814814814814,7.81073983558663e-18,7.81073983558663e-18,2.4814814814814814,27,0,ok,4,0.2,12,589026745013696624,,,,,,,,
random,random_n10_r12,all_pauli,10,0.1,True,0.9,14.875,0.0614519948731177,3.4298049818009004e-17,15.958333333333334,24,0,ok,4,0.2,12,589026745013696624,,,,,,,,
random,random_n10_r13,local_z,10,0.1,True,0.5,1.7,0.041031339721056145,0.0,1.9,10,0,ok,4,0.2,13,701789126470473571,,,,,,,,
random,random_n10_r13,local_transverse,10,0.1,True,0.7,3.5,0.07004687532781896,0.0,4.55,20,0,ok,4,0.2,13,701789126470473571,,,,,,,,
random,random_n10_r13,hamiltonian_terms,10,0.1,True,0.9,4.962962962962963,0.029996450191489082,2.9876964661171517e-17,5.185185185185185,27,0,ok,4,0.2,13,701789126470473571,,,,,,,,
random,random_n10_r13,all_pauli,10,0.1,True,0.99,70.04166666666667,0.045405225541950416,1.102377407071517e-15,70.75,24,0,ok,4,0.2,13,701789126470473571,,,,,,,,
random,random_n10_r14,local_z,10,0.1,True,0.5,1.8,0.0750388358993221,9.922450554516314e-18,3.0,10,0,ok,4,0.2,14,604842765912067890,,,,,,,,
random,random_n10_r14,local_transverse,10,0.1,True,0.9,5.8,0.09734137753907308,2.156037521448635e-18,6.15,20,0,ok,4,0.2,14,604842765912067890,,,,,,,,
random,random_n10_r14,hamiltonian_terms,10,0.1,True,0.9,10.222222222222221,0.054360401830030255,3.6278081462681505e-17,11.148148148148149,27,0,ok,4,0.2,14,604842765912067890,,,,,,,,
random,random_n10_r14,all_pauli,10,0.1,True,0.99,71.0,0.07308932698405143,3.486790374477542e-16,71.75,24,0,ok,4,0.2,14,604842765912067890,,,,,,,,
random,random_n10_r15,local_z,10,0.1,True,0.5,1.6,0.0,0.0,1.6,10,0,ok,4,0.2,15,785402196640998496,,,,,,,,
random,random_n10_r15,local_transverse,10,0.1,True,0.9,2.9,0.0,0.0,2.9,20,0,ok,4,0.2,15,785402196640998496,,,,,,,,
random,random_n10_r15,hamiltonian_terms,10,0.1,True,0.9,3.5925925925925926,0.0031021665936888346,1.2232502249179088e-17,3.6296296296296298,27,0,ok,4,0.2,15,785402196640998496,,,,,,,,
random,random_n10_r15,all_pauli,10,0.1,True,0.99,37.041666666666664,0.04516343185982756,2.2505872360360895e-16,37.25,24,0,ok,4,0.2,15,785402196640998496,,,,,,,,
random,random_n10_r16,local_z,10,0.1,True,0.5,1.7,0.037123284260862824,0.0,1.9,10,0,ok,4,0.2,16,12339502087770210,,,,,,,,
random,random_n10_r16,local_transverse,10,0.1,True,0.9,2.8,0.0,0.0,2.8,20,0,ok,4,0.2,16,12339502087770210,,,,,,,,
random,random_n10_r16,hamiltonian_terms,10,0.1,True,0.9,3.6666666666666665,5.2797438816565853e-17,5.2797438816565853e-17,3.6666666666666665,27,0,ok,4,0.2,16,12339502087770210,,,,,,,,
random,random_n10_r16,all_pauli,10,0.1,True,0.9,8.708333333333334,0.07613577751347207,0.0,9.208333333333334,24,0,ok,4,0.2,16,12339502087770210,,,,,,,,
random,random_n10_r17,local_z,10,0.1,True,0.9,1.8,1.6305742552731595e-17,1.6305742552731595e-17,1.8,10,0,ok,4,0.2,17,139398913083546632,,,,,,,,
random,random_n10_r17,local_transverse,10,0.1,True,0.9,3.2,0.016315090147022402,0.0,3.3,20,0,ok,4,0.2,17,139398913083546632,,,,,,,,
random,random_n10_r17,hamiltonian_terms,10,0.1,True,0.9,3.2222222222222223,0.003513715267781789,4.981416849934216e-17,3.259259259259259,27,0,ok,4,0.2,17,139398913083546632,,,,,,,,
random,random_n10_r17,all_pauli,10,0.1,True,0.95,7.25,0.006981394187321169,1.2395292563581135e-16,7.291666666666667,24,0,ok,4,0.2,17,139398913083546632,,,,,,,,
random,random_n10_r18,local_z,10,0.1,True,0.5,1.5,0.07920479415374387,0.0,1.6,10,0,ok,4,0.2,18,904022667715250599,,,,,,,,
random,random_n10_r18,local_transverse,10,0.1,True,0.9,3.1,0.051374970596299877,1.2977797208508829e-17,3.2,20,0,ok,4,0.2,18,904022667715250599,,,,,,,,
random,random_n10_r18,hamiltonian_terms,10,0.1,True,0.9,3.3333333333333335,0.05032153315126237,2.3655920675124916e-18,3.3703703703703702,27,0,ok,4,0.2,18,904022667715250599,,,,,,,,
random,random_n10_r18,all_pauli,10,0.1,True,0.98,15.375,0.002086220432431445,2.484681564369104e-16,15.416666666666666,24,0,ok,4,0.2,18,904022667715250599,,,,,,,,
random,random_n10_r19,local_z,10,0.1,True,0.5,1.6,0.06937370643533392,0.0,1.7,10,0,ok,4,0.2,19,1096932126876326775,,,,,,,,
