family,n_qubits,window_width,task,task_description,operator_magic,task_p2,exp_task_p2,k90,log10_k90,k90_per_window,terminal_support,labels_requested,labels_used,capped_labels,avg_terminal_terms,all_pauli_log10_k90,log10_k90_over_all_pauli,k90_over_all_pauli
local_window_stress,32,nan,all_pauli,"uniform all-Pauli endpoint, analytic",nan,nan,nan,1.6602069666338615e+19,19.220162231934122,nan,1.844674407370956e+19,nan,nan,0,nan,19.220162231934122,0.0,1.0
local_window_stress,64,1,window_z_string,contiguous local Z string averaged over positions,nan,0.4637730794950995,1.5900621118012421,133.0,2.123851640967086,2.078125,158.0,64,64,0,2.46875,38.48608195442892,-36.362230313461836,4.342798573871186e-37
local_window_stress,64,1,window_x_string,contiguous local X string averaged over positions,nan,1.6084618264610449,4.995121951219512,571.0,2.756636108245848,8.921875,775.0,64,64,0,12.109375,38.48608195442892,-35.72944584618307,1.8644646508875777e-36
local_window_stress,64,1,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,1.6084618264610449,4.995121951219512,734.0,2.8656960599160706,11.46875,938.0,128,128,0,12.109375,38.48608195442892,-35.62038589451285,2.3967023708432038e-36
local_window_stress,64,2,window_z_string,contiguous local Z string averaged over positions,nan,1.3705460041517514,3.9375,225.0,2.3521825181113627,3.5714285714285716,250.0,63,63,0,3.9682539682539684,38.48608195442892,-36.133899436317556,7.3468396926392886e-37
local_window_stress,64,2,window_x_string,contiguous local X string averaged over positions,nan,1.8436795264064147,6.3197492163009406,946.0,2.975891136401793,15.015873015873016,1349.0,63,63,0,21.41269841269841,38.48608195442892,-35.51019081802713,3.0889379329941114e-36
local_window_stress,64,2,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,2.2382326010635967,9.376744186046512,1776.0,3.249442961442582,28.19047619047619,2582.0,252,252,0,24.325396825396826,38.48608195442892,-35.236638992986336,5.799105464056614e-36
local_window_stress,64,3,window_z_string,contiguous local Z string averaged over positions,nan,1.8498671000353357,6.358974358974359,513.0,2.7101173651118162,8.274193548387096,612.0,62,62,0,9.870967741935484,38.48608195442892,-35.775964589317105,1.675079449921745e-36
local_window_stress,64,3,window_x_string,contiguous local X string averaged over positions,nan,2.6135536770059895,13.647463456577816,1843.0,3.2655253352190736,29.725806451612904,2636.0,62,62,0,42.516129032258064,38.48608195442892,-35.220556619209844,6.017878023792983e-36
local_window_stress,64,3,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,2.9939697148703224,19.964779874213836,5677.0,3.754118894225413,91.56451612903226,7264.0,496,496,0,48.38709677419355,38.48608195442892,-34.731963060203505,1.853689286005036e-35
local_window_stress,64,4,window_z_string,contiguous local Z string averaged over positions,nan,2.756328201368001,15.741935483870968,871.0,2.9400181550076634,14.278688524590164,968.0,61,61,0,15.868852459016393,38.48608195442892,-35.546063799421255,2.8440432765728118e-36
local_window_stress,64,4,window_x_string,contiguous local X string averaged over positions,nan,3.2271386075836763,25.20742534301856,3659.0,3.5633624094866074,59.98360655737705,5220.0,61,61,0,85.57377049180327,38.48608195442892,-34.92271954494231,1.1947593971274296e-35
